ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
349;0;20;1.32;22;11823.95;4638.09;1083998.85;1625.18;1547092.82
350;4;8;160.92;3;45.73;4260.93;549.32;0.0;487415.41
351;0;21;14.0;9;2747.52;5928.71;44808.16;0.0;192298.15
352;0;9;2.8;15;1773.05;5818.96;37008.28;49267.23;1010127.33
353;0;3;7.37;10;6941.16;3532.14;18801.69;30114.05;3514036.2
354;0;6;1.55;14;7572.97;1222.36;13962.29;12161.68;1220908.35
355;0;0;0.0;0;304.03;5451.58;5844.21;15561.27;578015.23
356;0;6;0.0;0;5331.47;8330.49;551270.78;0.0;677192.0
357;0;21;8.9;10;3564.93;1619.82;25283.54;32133.14;1230935.34
358;0;35;5.04;12;3803.76;316.09;11789.85;0.0;1150026.44
359;0;18;2.94;15;4471.47;4609.23;169295.46;5725.1;949017.47
360;0;16;91.62;3;1546.43;2712.2;361575.3;0.0;868196.53
361;0;42;30.94;6;3173.78;4817.77;26773.67;0.0;559886.69
362;0;48;1.19;15;2894.87;345.21;211852.2;12959.25;405385.68
363;0;28;1.98;16;2045.85;485.1;172617.2;0.0;732914.58
364;0;18;181.73;3;7933.21;6266.54;5904.29;25579.43;690376.97
365;0;16;8.27;12;4936.01;1998.91;1210.33;11281.43;1408190.2
